               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10056,            0.037919,            0.021076,             0.69504,             0.27108,             0.22297,            0.073499,             0.07694,            0.023829,            0.014146,            0.070698,           0.0032558,           0.0032558
                   1,            0.079441,            0.031644,            0.011319,             0.24656,             0.41189,             0.24875,            0.082551,            0.076631,            0.018408,             0.01094,            0.040632,           0.0065239,           0.0065239
                   2,            0.073418,            0.029877,           0.0098165,             0.22741,             0.44388,             0.14904,            0.044042,            0.078717,            0.016826,            0.010073,            0.010501,            0.009726,            0.009726
                   3,            0.067549,            0.027679,           0.0091102,             0.43641,             0.53626,             0.34089,              0.1605,            0.064807,            0.016627,           0.0099218,            0.009703,            0.009703,            0.009703
                   4,             0.05828,            0.025981,           0.0073978,             0.42346,             0.61054,              0.4715,               0.227,            0.053237,            0.016342,            0.010336,            0.009703,            0.009703,            0.009703
                   5,            0.053407,            0.025992,           0.0064812,             0.54506,              0.5807,             0.52906,             0.26319,            0.050064,            0.014685,            0.010672,            0.009604,            0.009604,            0.009604
                   6,            0.051156,            0.025358,           0.0059953,             0.61578,             0.63435,             0.65862,             0.31378,            0.050338,            0.014612,            0.010718,            0.009505,            0.009505,            0.009505
                   7,            0.048031,            0.024623,           0.0057594,             0.63567,             0.60609,             0.60227,             0.32405,            0.047637,             0.01476,            0.010384,            0.009406,            0.009406,            0.009406
                   8,            0.045105,            0.023923,           0.0049408,             0.75561,             0.58262,             0.63861,             0.29594,            0.043789,            0.014062,           0.0091651,            0.009307,            0.009307,            0.009307
                   9,            0.043948,            0.023736,           0.0047011,             0.67558,             0.67594,             0.64565,             0.36368,            0.045355,             0.01375,           0.0092461,            0.009208,            0.009208,            0.009208
                  10,            0.042147,            0.023808,           0.0044922,             0.69207,             0.59548,             0.58814,             0.33882,            0.044577,            0.015407,           0.0081654,            0.009109,            0.009109,            0.009109
                  11,            0.040735,            0.022814,           0.0038944,             0.73644,             0.60218,              0.5924,             0.34848,            0.042653,            0.014208,            0.010472,             0.00901,             0.00901,             0.00901
                  12,            0.039609,            0.023279,           0.0035572,             0.67017,             0.62039,             0.62199,             0.35891,            0.046277,            0.014227,           0.0094434,            0.008911,            0.008911,            0.008911
                  13,            0.039479,            0.023309,           0.0034044,             0.72052,             0.61192,             0.62233,             0.39407,            0.040305,            0.014116,            0.011974,            0.008812,            0.008812,            0.008812
                  14,             0.03806,             0.02215,           0.0031149,             0.72446,             0.57769,             0.59444,              0.3765,            0.040667,            0.014507,             0.01032,            0.008713,            0.008713,            0.008713
                  15,            0.037223,            0.022181,           0.0028505,             0.77236,             0.59356,             0.60094,             0.38988,            0.041151,             0.01442,           0.0094951,            0.008614,            0.008614,            0.008614
                  16,            0.035916,            0.020985,           0.0024381,              0.7418,              0.6442,             0.63473,             0.40421,             0.03765,            0.014392,           0.0082307,            0.008515,            0.008515,            0.008515
                  17,            0.034642,            0.020766,           0.0024872,             0.75633,             0.61627,              0.6376,             0.40219,              0.0395,            0.014174,           0.0089025,            0.008416,            0.008416,            0.008416
                  18,            0.035559,            0.022262,           0.0023953,             0.79399,             0.57468,             0.61812,             0.42468,            0.038143,            0.013865,           0.0099779,            0.008317,            0.008317,            0.008317
                  19,            0.033952,            0.021513,           0.0027036,             0.81822,             0.62623,             0.61625,             0.38627,            0.041252,            0.014628,           0.0078984,            0.008218,            0.008218,            0.008218
                  20,            0.033051,            0.020386,            0.001889,               0.597,             0.62039,              0.6073,             0.37835,            0.039574,             0.01421,            0.010093,            0.008119,            0.008119,            0.008119
                  21,            0.032816,            0.019992,           0.0021071,             0.70819,             0.64118,             0.61276,             0.39639,            0.040082,            0.014205,            0.010007,             0.00802,             0.00802,             0.00802
                  22,            0.032251,            0.019478,           0.0018375,             0.71705,             0.60643,             0.58464,              0.4165,            0.038426,            0.014042,            0.011657,            0.007921,            0.007921,            0.007921
                  23,            0.031616,            0.019778,           0.0020648,             0.73802,             0.57337,             0.57449,             0.43419,            0.037198,            0.014728,            0.010168,            0.007822,            0.007822,            0.007822
                  24,            0.030905,            0.019213,           0.0018659,             0.67968,             0.62832,             0.58955,             0.39737,            0.037207,            0.014996,            0.010072,            0.007723,            0.007723,            0.007723
                  25,            0.030961,            0.019597,           0.0019548,              0.7032,             0.57769,             0.60116,             0.40985,             0.03748,            0.014901,            0.010045,            0.007624,            0.007624,            0.007624
                  26,            0.030676,            0.019032,           0.0018446,             0.73644,             0.63325,             0.60975,             0.42529,            0.037755,            0.014462,           0.0097139,            0.007525,            0.007525,            0.007525
                  27,            0.029162,            0.019253,           0.0017639,             0.77646,              0.6431,             0.61977,              0.4282,            0.038075,            0.014139,           0.0087573,            0.007426,            0.007426,            0.007426
                  28,            0.029491,            0.018352,           0.0016632,             0.73048,             0.63024,             0.62404,              0.4594,            0.037741,            0.014325,            0.009478,            0.007327,            0.007327,            0.007327
                  29,            0.028999,            0.017473,           0.0016457,             0.73319,             0.62989,             0.61637,              0.4125,            0.038669,            0.015586,            0.010833,            0.007228,            0.007228,            0.007228
                  30,             0.02872,            0.017883,           0.0014603,             0.77754,             0.61627,             0.61294,             0.42727,            0.036216,            0.015303,            0.010909,            0.007129,            0.007129,            0.007129
                  31,            0.028048,            0.017954,           0.0015269,             0.73488,              0.6223,             0.62688,             0.44844,            0.035152,            0.014887,            0.009796,             0.00703,             0.00703,             0.00703
                  32,            0.028051,            0.018955,           0.0013676,             0.64404,             0.62722,              0.5607,             0.39698,             0.03903,            0.015196,            0.013643,            0.006931,            0.006931,            0.006931
                  33,            0.028108,            0.017742,           0.0013968,              0.7677,              0.6223,             0.60945,             0.42399,            0.036883,            0.015151,            0.010748,            0.006832,            0.006832,            0.006832
                  34,            0.027284,            0.017187,           0.0014292,             0.68378,             0.64611,              0.6155,             0.42219,            0.038952,             0.01491,           0.0083756,            0.006733,            0.006733,            0.006733
